angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(446, 255, 392, 392)",0.0,0.02,0.0,0.95,0.02,0.0
0.01,"(449, 258, 387, 387)",0.0,0.02,0.0,0.95,0.01,0.0
0.02,"(447, 257, 390, 390)",0.0,0.03,0.0,0.92,0.02,0.0
0.01,"(448, 259, 387, 387)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(447, 260, 385, 385)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(447, 260, 385, 385)",0.0,0.01,0.0,0.98,0.01,0.0
0.01,"(448, 260, 384, 384)",0.0,0.02,0.0,0.97,0.01,0.0
0.01,"(448, 259, 385, 385)",0.0,0.04,0.0,0.93,0.01,0.0
0.02,"(452, 261, 383, 383)",0.0,0.06,0.0,0.91,0.02,0.0
0.03,"(451, 263, 380, 380)",0.0,0.07,0.0,0.87,0.02,0.0
0.03,"(451, 263, 380, 380)",0.0,0.07,0.0,0.88,0.02,0.0
0.04,"(453, 261, 383, 383)",0.0,0.11,0.0,0.82,0.02,0.01
0.02,"(453, 263, 381, 381)",0.0,0.07,0.0,0.89,0.01,0.0
0.04,"(455, 268, 372, 372)",0.0,0.08,0.0,0.84,0.04,0.0
0.04,"(455, 267, 374, 374)",0.0,0.08,0.0,0.85,0.03,0.0
0.04,"(455, 267, 374, 374)",0.0,0.11,0.0,0.82,0.03,0.0
0.04,"(454, 266, 375, 375)",0.0,0.13,0.0,0.79,0.04,0.0
0.03,"(456, 267, 373, 373)",0.0,0.09,0.0,0.85,0.03,0.0
0.03,"(456, 266, 374, 374)",0.0,0.07,0.0,0.87,0.03,0.0
0.03,"(456, 267, 373, 373)",0.0,0.1,0.0,0.83,0.03,0.0
0.03,"(457, 268, 372, 372)",0.0,0.1,0.0,0.84,0.03,0.01
0.04,"(456, 267, 374, 374)",0.0,0.11,0.0,0.8,0.04,0.01
0.03,"(457, 266, 375, 375)",0.0,0.09,0.0,0.85,0.02,0.01
0.04,"(457, 266, 375, 375)",0.0,0.15,0.0,0.76,0.04,0.01
0.07,"(457, 266, 374, 374)",0.0,0.13,0.0,0.75,0.04,0.01
0.11,"(456, 265, 376, 376)",0.0,0.19,0.0,0.62,0.06,0.02
0.14,"(454, 262, 377, 377)",0.0,0.13,0.0,0.68,0.03,0.01
0.04,"(451, 260, 382, 382)",0.0,0.05,0.0,0.88,0.02,0.01
0.01,"(449, 261, 383, 383)",0.0,0.03,0.0,0.93,0.01,0.01
0.01,"(446, 262, 381, 381)",0.0,0.01,0.0,0.97,0.0,0.0
0.01,"(448, 261, 379, 379)",0.0,0.02,0.0,0.95,0.01,0.01
0.01,"(446, 261, 380, 380)",0.0,0.01,0.0,0.98,0.0,0.0
0.01,"(442, 257, 384, 384)",0.0,0.01,0.0,0.98,0.0,0.0
0.01,"(445, 260, 380, 380)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(446, 259, 381, 381)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(444, 254, 385, 385)",0.0,0.01,0.0,0.98,0.0,0.0
